File,Mean,RMSE,StdDev,Max,P90
Studente 1(a)_VRTI_pointcloud.xyz,53.07038591091337,69.37667578871151,44.68397120622468,213.85976713725282,126.81088281373961
Studente 10(a)_VRTI_pointcloud.xyz,67.76504662986453,92.8786979315092,63.5165410322761,230.8462691922917,185.66636674140156
Studente 11(a)_VRTI_pointcloud.xyz,49.273140269595984,73.55525404278318,54.61257222719957,207.2920644887305,147.28543465813198
Studente 12(a)_VRTI_pointcloud.xyz,41.66373250877989,59.28935099212838,42.1824671457779,196.6214637317096,100.84641788382967
Studente 13(a)_VRTI_pointcloud.xyz,51.33139888100719,80.69629167306124,62.26539150043712,242.16110340019515,165.4817208364086
Studente 14(a)_VRTI_pointcloud.xyz,44.35579189683796,57.36634831182766,36.379412362465885,188.73261509341728,101.0
Studente 15(a)_VRTI_pointcloud.xyz,37.75020849157715,48.2392314024463,30.032402586893006,121.82774724995944,85.22792901593533
Studente 16(a)_VRTI_pointcloud.xyz,30.40069531000244,45.58341215191043,33.965352759530276,176.50495743746123,82.87339742040264
Studente 17(a)_VRTI_pointcloud.xyz,29.294231334565723,43.81160859405621,32.57767729774067,119.0,79.70194470999374
Studente 18(a)_VRTI_pointcloud.xyz,39.90011614274137,56.39610377203709,39.8560064791008,225.93804460515275,75.77598449304458
Studente 19(a)_VRTI_pointcloud.xyz,35.630212028336466,67.79864130594775,57.68139868058291,310.85848870506976,101.11478469057361
Studente 2(a)_VRTI_pointcloud.xyz,32.00576180125022,45.223338945601306,31.949672876421943,159.24823389915505,76.83749084919418
Studente 3(a)_VRTI_pointcloud.xyz,28.43249277430172,38.126906988247285,25.40185802514729,128.3160161476345,60.0
Studente 4(a)_VRTI_pointcloud.xyz,36.73702484128365,54.39246531226268,40.111485743569844,256.7975856584325,70.83078426785913
Studente 5(a)_VRTI_pointcloud.xyz,28.090530930844658,39.11628075198953,27.221416052287328,131.86735759845953,67.11184528755818
Studente 6(a)_VRTI_pointcloud.xyz,34.2683282225151,47.07550912866726,32.276698104936465,170.29973576021777,87.46427842267951
Studente 7(a)_VRTI_pointcloud.xyz,59.46030849160246,113.37260163973286,96.52884810586433,463.86204845837517,199.21069152443346
Studente 8(a)_VRTI_pointcloud.xyz,34.8761551655524,45.852275959429655,29.767180107091164,158.80806024884254,72.68080828882083
Studente 9(a)_VRTI_pointcloud.xyz,36.40789154946308,56.21818430008493,42.836312620495825,187.29655629509048,108.85862265662561
